pre_tax_amount,tax,post_tax_amount,amount_tendered,change_due,state
1.5,0,5,5,0,Virginia
23.17,0,23.17,23.17,0,Georgia
12.04,0.1,12.14,21,8.86,North Carolina
9.06,0.63,9.69,10,0.31,North Carolina
1.59,0.11,1.7,1.75,0.05,North Carolina
11.29,0.12,11.41,11.41,0,Alabama
7,0,7,7,0,North Carolina
1.19,0.08,1.27,1.27,0,South Carolina
1.98,0.14,2.12,5,2.88,North Carolina
37.04,0,37.04,37.04,0,Pennsylvania
20,0,20,20,0,Virginia
9.01,0,9.01,9.01,0,South Carolina
1.84,0.07,1.91,2,0.09,North Carolina
5,0.25,5.25,20,14.75,South Carolina
1.09,0.07,1.16,1.16,0,Georgia
0.25,0.01,0.26,0.26,0,North Carolina
1.29,0.04,1.33,5,3.67,Georgia
50,0,50,50,0,Georgia
2.38,0.12,2.5,3,0.5,Virginia
10,0,10,10,0,North Carolina
10,0,10,10,0,Virginia
9.37,0.4,9.77,20,10.23,North Carolina
22.99,1.61,24.6,25,0.4,Georgia
5,0.35,5.1,5.1,0,North Carolina
0.5,0.04,0.54,1,0.46,Georgia
2.49,0.05,2.54,3,0.46,North Carolina
35.01,0,35.01,35.01,0,South Carolina
10,0,10,10,0,Virginia
15,0,15,15,0,North Carolina
11.87,0.83,12.7,15,2.3,North Carolina
1.49,0.09,1.58,2,0.42,Georgia
1.98,0.14,2.12,10,7.88,South Carolina
1.99,0.18,2.17,2.25,0.08,Alabama
1.09,0.1,1.19,2,0.81,Virginia
17.68,0.42,18.1,20,1.9,Virginia
15.18,0.22,15.4,16,0.6,South Carolina
10,0,10,10,0,North Carolina
4.28,0,4.28,5,0.72,Virginia
0.99,0.06,1.05,2,0.95,Georgia
7,0,7,7,0,Georgia
5.95,0.35,6.3,10,3.7,North Carolina
3,0,3,5,2,Virginia
23,0,23,23,0,Pennsylvania
21.2,0.08,21.28,40,18.72,North Carolina
1.29,0.09,1.38,2,0.62,South Carolina
3.58,0.25,3.83,5,1.17,North Carolina
0.69,0.02,0.71,1,0.29,Georgia
32.6,0,32.6,35,2.4,North Carolina
2.99,0.15,3.14,3.25,0.11,Virginia
5,0,5,5,0,Georgia
5.5,0.36,5.86,10,4.14,North Carolina
36.6,0,36.6,36.6,0,South Carolina
0.99,0.09,1.08,1.1,0.02,Tennessee
1.38,0.1,1.48,2,0.52,North Carolina
2,0,2,2,0,South Carolina
7,0,7,7,0,South Carolina
3.49,0.24,3.73,10,6.27,Georgia
1,0,1,1,0,Tennessee
2,0,2,2,0,Georgia
10,0,10,10,0,North Carolina
5,0,5,10,5,Virginia
5.01,0,5.01,6,0.99,Georgia
20,0,20,20,0,North Carolina
20,0,20,20,0,Pennsylvania
7,0,7,7,0,Virginia
5.01,0,5.01,10.01,5,South Carolina
10,0,10,10,0,North Carolina
2.19,0.13,2.32,2.32,0,Pennsylvania
10,0,10,10,0,Georgia
4.95,0.35,5.3,5.3,0,Georgia
5.41,0.29,5.7,6,0.3,Georgia
5.01,0,5.01,5.01,0,North Carolina
16.85,0,16.85,20,3.15,Alabama
1.19,0.03,1.22,1.22,0,Virginia
15,0,15,15,0,Georgia
4.27,0.13,4.4,4.4,0,North Carolina
10.48,0.52,8.55,8.55,0,Virginia
10,0,10,20,10,Georgia
4.55,0,4.55,5,0.45,North Carolina
15.45,0.23,15.68,50,34.32,Tennessee
2.63,0.16,2.79,20,17.21,South Carolina
10,0,10,10,0,Virginia
8.05,0.15,8.2,10,1.8,South Carolina
5,0,5,5,0,Tennessee
13.25,0,13.25,13.25,0,Virginia
35.51,0,35.51,35.51,0,South Carolina
3.44,0.24,3.68,5,1.32,North Carolina
1.19,0.11,1.3,1.3,0,Alabama
2,0,2,5,3,South Carolina
36,0,13,20,7,Virginia
49.45,0.18,49.63,50,0.37,Georgia
1.25,0,1.25,2,0.75,North Carolina
36.75,0,36.75,36.75,0,Georgia
2.97,0.21,3.18,3.18,0,North Carolina
5.97,0.15,6.12,7,0.88,Virginia
3.19,0.16,3.35,3.35,0,Virginia
2.76,0.08,2.84,3,0.16,Georgia
19.19,0.39,19.58,19.58,0,Tennessee
153.99,0,-1.7,0,1.7,Virginia
22.11,0,22.11,22.11,0,Georgia
1.99,0.14,2.13,5,2.87,Georgia
22.99,1.61,24.6,24.6,0,Georgia
20,0,20,20,0,North Carolina
39.12,0,39.12,39.12,0,Georgia
4.28,0.21,4.49,5,0.51,Virginia
20,0,20,20,0,North Carolina
3.83,0.27,4.1,5,0.9,South Carolina
1.98,0.04,2.02,2.02,0,North Carolina
27.04,0,27.04,27.04,0,Virginia
1.29,0.04,1.33,2,0.67,Georgia
0.99,0.07,1.06,1.06,0,North Carolina
16.58,0.08,16.66,17,0.34,Georgia
2.47,0.12,2.59,50,47.41,Georgia
1.49,0.1,1.59,1.6,0.01,North Carolina
1.98,0.1,2.08,10.25,8.17,Georgia
1.88,0.07,1.95,2,0.05,North Carolina
2.38,0.07,2.45,2.45,0,Georgia
5.8,0,5.8,6,0.2,Virginia
25,0.13,25.13,25.13,0,Virginia
3.98,0.28,4.26,5.01,0.75,South Carolina
1.39,0.1,1.49,2,0.51,South Carolina
29.49,1.47,30.96,30.96,0,Virginia
6.59,0.46,7.05,10,2.95,South Carolina
24.01,0,24.01,24.01,0,Georgia
9.68,0.87,10.55,21,10.45,Alabama
32.84,0.16,33,40,7,Virginia
29.34,0,29.34,29.34,0,South Carolina
2.84,0.14,2.98,20,17.02,South Carolina
1.19,0.06,1.25,1.25,0,Virginia
1.49,0.04,1.53,2,0.47,Virginia
6.78,0.38,7.16,7.16,0,North Carolina
203.46,0,203.46,203.46,0,Pennsylvania
0.99,0.05,1.04,1.04,0,South Carolina
35,0,35,35,0,Georgia
1.09,0.07,1.16,1.26,0.1,Pennsylvania
29,0,29,40,11,Tennessee
57,0,57,57,0,Tennessee
1.19,0.11,1.3,2,0.7,Alabama
10,0,10,20,10,South Carolina
11.28,0.35,11.63,14,2.37,South Carolina
1.79,0.05,1.84,10,8.16,Georgia
10,0,10,10,0,Georgia
25.83,0,25.83,25.83,0,Virginia
0.25,0.02,0.27,0.27,0,Virginia
26,0,26,26,0,Pennsylvania
20,0,20,20,0,Alabama
5,0,5,20,15,Georgia
10,0,10,20,10,North Carolina
1.58,0.09,1.67,2,0.33,South Carolina
2.28,0.05,2.33,5,2.67,Georgia
6.99,0.35,7.34,20,12.66,South Carolina
3.37,0.08,3.45,5,1.55,Virginia
24.05,0,24.05,24.05,0,Virginia
2,0,2,2,0,North Carolina
0.8,0,0.8,1,0.2,South Carolina
5,0,5,5,0,South Carolina
1.98,0.1,2.08,3,0.92,South Carolina
15.22,0.37,15.59,20,4.41,Georgia
1.19,0.08,1.27,2,0.73,North Carolina
1.49,0.07,1.56,1.56,0,Virginia
6,0,6,6,0,Virginia
6.06,0.29,6.35,6.35,0,Virginia
11.28,0.31,11.59,20,8.41,Virginia
1.99,0.14,2.13,5,2.87,North Carolina
1.44,0.09,1.53,1.53,0,North Carolina
2.38,0.14,2.52,3,0.48,South Carolina
1.19,0.08,1.27,1.27,0,South Carolina
44.5,0,44.5,44.5,0,North Carolina
2.68,0.06,2.74,5,2.26,Pennsylvania
1.05,0.07,1.12,20,18.88,South Carolina
0.5,0,0.5,1,0.5,Pennsylvania
14.04,0.98,15.02,15.02,0,North Carolina
0.99,0.09,1.08,5,3.92,Alabama
15,0,15,15,0,Tennessee
1.19,0.02,1.21,20,18.79,North Carolina
10,0,10,10,0,North Carolina
6.86,0.48,7.34,8,0.66,North Carolina
4.04,0.28,4.32,20,15.68,North Carolina
10,0,10,10,0,South Carolina
0,0,10,20,10,Virginia
22.3,0,22.3,22.3,0,Virginia
10,0,10,10,0,North Carolina
14.01,0,14.01,14.01,0,Georgia
1.99,0.06,2.05,2.05,0,Georgia
1.69,0,1.69,2,0.31,Pennsylvania
1.48,0.09,1.57,2,0.43,South Carolina
20,0,20,20,0,Virginia
36.57,0,36.57,100.57,64,Virginia
16.5,0,16.5,16.5,0,Georgia
0.99,0.03,1.02,5.05,4.03,Georgia
10,0.7,10.7,20.7,10,Georgia
2.64,0.05,2.69,2.69,0,North Carolina
53.97,2.74,53.71,55,1.29,Virginia
1.19,0.03,1.22,1.22,0,Virginia
22.14,0,22.14,22.14,0,Virginia
22.01,0,22.01,25.01,3,Virginia
13.68,0.26,13.94,20,6.06,North Carolina
1.98,0.05,2.03,10.03,8,Virginia
2.49,0.21,2.7,5,2.3,Tennessee
26.74,0,26.74,26.74,0,Georgia
50,0,50,60,10,Georgia
5,0,5,5,0,Virginia
131.59,0,131.59,131.59,0,North Carolina
8,0,8,20,12,Georgia
50,0,50,50,0,Georgia
1.29,0.09,1.38,10,8.62,South Carolina
0.99,0.07,1.06,2,0.94,South Carolina
4.15,0.36,4.51,10,5.49,Tennessee
6.38,0.32,6.7,6.7,0,Virginia
15.17,0.91,16.08,20,3.92,Pennsylvania
48.15,0,48.15,48.15,0,Georgia
4.54,0.27,4.81,5,0.19,Pennsylvania
0.85,0.02,0.87,1,0.13,North Carolina
31,0,31,31,0,Georgia
0.99,0.05,1.04,1.25,0.21,South Carolina
27.05,0.27,-5.5,0,5.5,Virginia
8,0,8,20,12,North Carolina
28,0,28,40,12,Virginia
7.75,0.54,8.29,20,11.71,North Carolina
5.02,0,5.02,5.02,0,Georgia
3.44,0.21,3.65,10,6.35,North Carolina
22.49,1.57,2,2,0,North Carolina
25.71,0,25.71,25.71,0,North Carolina
56.5,0,56.5,56.5,0,Georgia
