pre_tax_amount,tax,post_tax_amount,amount_tendered,change_due,state
2.14,0.12,2.26,20,17.74,Virginia
1.59,0.08,1.67,5,3.33,Virginia
1.98,0.14,2.12,3,0.88,South Carolina
39,0,39,50,11,North Carolina
23.58,0,23.58,23.58,0,Georgia
10,0,10,10,0,Alabama
48,0,48,48,0,Tennessee
1.98,0.14,2.12,10.25,8.13,North Carolina
1.69,0.06,1.75,5,3.25,Georgia
22.5,0,22.5,22.5,0,Georgia
3.34,0.08,3.42,5,1.58,Virginia
2.58,0.08,2.66,5,2.34,Georgia
1.98,0.04,2.02,3,0.98,North Carolina
50,0,50,50,0,South Carolina
2.09,0.17,2.26,3,0.74,Tennessee
16,0,16,16,0,Georgia
2.89,0.17,3.06,5.1,2.04,Georgia
20.01,0,20.01,21,0.99,Georgia
4.87,0.34,5.21,10,4.79,North Carolina
39.29,0,39.29,39.29,0,North Carolina
2.29,0.05,2.34,5,2.66,North Carolina
11.02,0,11.02,20.05,9.03,Virginia
49.3,0,49.3,49.3,0,South Carolina
25,0,25,25,0,North Carolina
56.86,0.15,57.01,60,2.99,Georgia
4.46,0.13,4.59,5,0.41,Georgia
20,0,20,20,0,South Carolina
1.99,0.1,2.09,2.09,0,South Carolina
2.38,0.12,2.5,5,2.5,Georgia
15.01,0,15.01,15.01,0,Alabama
4.26,0.21,4.47,5,0.53,South Carolina
7.47,0.22,7.69,100,92.31,Georgia
2.69,0.19,2.88,3,0.12,North Carolina
37,0,37,37,0,Alabama
4.69,0.42,5.11,5.11,0,Alabama
1.09,0.07,1.16,2,0.84,Georgia
46.59,0.14,46.73,47,0.27,Alabama
1,0,1,1,0,Georgia
19.01,0,19.01,20.01,1,Tennessee
36.36,0,36.36,36.36,0,Georgia
1.15,0.03,1.18,2,0.82,Virginia
7,0,7,7,0,North Carolina
5.58,0.28,5.86,10,4.14,South Carolina
40.5,0,40.5,40.5,0,Georgia
50,0,50,50,0,Pennsylvania
4.08,0.24,4.32,4.32,0,North Carolina
6.49,0,6.49,20,13.51,Pennsylvania
50,0,50,50,0,Virginia
12.01,0,12.01,20.01,8,Virginia
10,0.5,10.5,10.5,0,South Carolina
2.99,0.07,3.06,3.25,0.19,Virginia
2.28,0.21,2.49,5,2.51,Alabama
1.39,0.1,1.49,2,0.51,Georgia
20,0,20,20,0,Virginia
1,0.07,1.07,1.07,0,North Carolina
41.01,0,41.01,41.01,0,South Carolina
1.19,0.11,1.3,1.3,0,Tennessee
10,0,10,10,0,Virginia
9.92,0.69,10.61,20.61,10,South Carolina
17.76,0,17.76,17.76,0,Pennsylvania
4.49,0.4,4.89,10,5.11,Tennessee
31.04,0,31.04,31.04,0,North Carolina
6,0,6,6,0,Virginia
13,0,13,13,0,Virginia
4.58,0.41,4.99,5,0.01,Alabama
4.63,0.41,5.04,5.04,0,Tennessee
1.79,0.05,1.84,2,0.16,Georgia
4.23,0.3,4.53,5,0.47,Georgia
17,0,17,17,0,Virginia
1.49,0.03,1.52,2,0.48,North Carolina
0.5,0.04,0.54,0.55,0.01,South Carolina
3.87,0.32,4.19,4.19,0,Tennessee
4.67,0.3,4.97,10,5.03,North Carolina
5,0,5,5,0,South Carolina
70.24,0.23,70.47,70.47,0,Georgia
0.59,0.02,0.61,0.61,0,Georgia
50,0,50,50,0,Georgia
5,0,5,10,5,Georgia
2,0,2,2,0,Georgia
10.03,0,10.03,10.03,0,South Carolina
5,0,5,10,5,Virginia
2.74,0.07,2.81,3,0.19,Virginia
2.38,0.06,2.44,5,2.56,Virginia
6.15,0.29,6.44,20,13.56,Georgia
25,0,25,25,0,Virginia
20.99,0.08,21.07,22,0.93,Tennessee
14.23,0.18,14.41,20,5.59,Virginia
1.99,0.14,2.13,3,0.87,North Carolina
1.98,0.14,2.12,2.12,0,North Carolina
9.35,0.65,10,20,10,South Carolina
10.99,0.77,11.76,20,8.24,North Carolina
52.4,0.41,52.81,55.01,2.2,Virginia
24.99,1.35,26.34,27,0.66,Pennsylvania
10,0,10,20,10,South Carolina
9.56,0.86,10.42,20,9.58,Alabama
8.49,0.17,8.66,20,11.34,Virginia
23.99,1.68,25.67,40.67,15,North Carolina
27.75,0,27.75,28,0.25,Georgia
23.99,1.44,25.43,25.43,0,Pennsylvania
3.98,0.22,4.2,10,5.8,North Carolina
2.67,0.08,2.75,3,0.25,Georgia
18,0,18,18,0,Alabama
12.98,1.17,14.15,20,5.85,Alabama
19,0,19,19,0,Virginia
6,0,6,6,0,Pennsylvania
23.56,0,23.56,23.56,0,Georgia
8,0,8,24,16,Georgia
10,0,10,20,10,North Carolina
6.25,0.2,6.45,20,13.55,North Carolina
17.07,0,17.07,17.07,0,South Carolina
5.3,0,5.3,10.3,5,North Carolina
4.76,0.33,5.09,20,14.91,North Carolina
5,0,5,5,0,Alabama
3.04,0.15,3.19,5,1.81,South Carolina
16.4,0,16.4,16.4,0,South Carolina
25,0,25,25,0,Tennessee
1.39,0.1,1.49,2,0.51,North Carolina
41.5,0,41.5,42,0.5,South Carolina
1.19,0.08,1.27,5,3.73,South Carolina
6.34,0.14,6.48,6.48,0,Pennsylvania
1.5,0,-3.5,0,3.5,Virginia
30,0,30,30,0,Georgia
11.69,0.02,11.71,20,8.29,Virginia
4.78,0.33,5.11,6,0.89,South Carolina
1.49,0.04,1.53,2,0.47,Georgia
32,0,32,40,8,South Carolina
30.99,1.55,4,4,0,Virginia
2.89,0.2,3.09,20.25,17.16,North Carolina
10,0,10,10,0,Georgia
100,0,100,100,0,Georgia
0.5,0,0.5,1,0.5,Virginia
10.96,0.9,11.86,20,8.14,Tennessee
20.55,0,20.55,20.55,0,Georgia
48.53,0,48.53,48.53,0,Georgia
3.99,0.2,4.19,5,0.81,South Carolina
2.93,0.17,3.1,3.1,0,Georgia
15,0,15,15,0,Georgia
10.01,0,10.01,10.01,0,Alabama
19.02,0.14,19.16,20,0.84,South Carolina
10.01,0,10.01,10.01,0,Georgia
1.49,0.03,1.52,2,0.48,Georgia
4.77,0.24,5.01,5.01,0,South Carolina
49.99,4.5,54.49,55,0.51,Alabama
4.4,0.27,4.67,5,0.33,North Carolina
15,0,15,15,0,Tennessee
3.28,0.16,3.44,3.44,0,North Carolina
2.08,0.15,2.23,20.25,18.02,South Carolina
4.24,0.3,4.54,20,15.46,North Carolina
15,0,15,15,0,South Carolina
28.32,0,28.32,28.32,0,North Carolina
15.48,0.86,16.34,20,3.66,Georgia
1.29,0.04,1.33,2,0.67,Georgia
50,0,50,50,0,North Carolina
26.98,0.41,27.39,27.39,0,North Carolina
16.48,0,16.48,20.5,4.02,Virginia
1.15,0.03,1.18,1.25,0.07,Virginia
26.01,0,26.01,26.01,0,Georgia
7.03,0.2,7.23,20,12.77,Pennsylvania
20,0,20,20,0,Virginia
2,0,2,2,0,South Carolina
0.89,0.03,0.92,1,0.08,Georgia
1.59,0.05,1.64,2,0.36,Georgia
0.59,0.04,0.63,1,0.37,North Carolina
10.04,0,10.04,10.04,0,Georgia
1.99,0.12,2.11,2.11,0,Georgia
2.88,0.14,3.02,4,0.98,Georgia
29.04,0,29.04,30,0.96,South Carolina
6.82,0.36,7.18,10,2.82,South Carolina
2.08,0.07,2.15,2.25,0.1,Pennsylvania
11.95,0.84,12.79,20,7.21,South Carolina
57.83,0,57.83,60,2.17,South Carolina
16,0,16,16,0,Virginia
6.38,0.32,6.7,20,13.3,Virginia
5.99,0.09,6.08,10,3.92,Virginia
30.5,0,30.5,40.5,10,Virginia
11.45,0,11.45,11.45,0,Georgia
4.43,0.31,4.74,20,15.26,South Carolina
9.82,0.88,10.7,11,0.3,Alabama
7.47,0.35,7.82,20,12.18,Virginia
20,0,20,20,0,Georgia
3.37,0.13,3.5,10,6.5,North Carolina
0.6,0.04,0.64,0.65,0.01,South Carolina
1.25,0.08,1.33,1.35,0.02,South Carolina
20.27,1.22,21.49,21.5,0.01,Pennsylvania
40,0,40,40,0,Georgia
4.88,0.34,5.22,5.25,0.03,North Carolina
0.59,0.04,0.63,1,0.37,South Carolina
26.64,0,26.64,27,0.36,South Carolina
46,0,46,46,0,Pennsylvania
5.79,0.29,6.08,10,3.92,South Carolina
14.18,0.99,15.17,20,4.83,North Carolina
6,0,6,6,0,South Carolina
1.29,0.06,1.35,2,0.65,Virginia
33.58,0.19,33.77,35,1.23,Georgia
0.79,0.02,0.81,1,0.19,Georgia
2.99,0.21,3.2,5,1.8,Georgia
6.17,0.15,6.32,20,13.68,Virginia
40.05,0,40.05,40.05,0,South Carolina
19.74,0,19.74,19.74,0,Georgia
2.09,0.1,2.19,3,0.81,North Carolina
48.9,0,48.9,48.9,0,Georgia
32.4,0,32.4,32.4,0,Virginia
2.38,0.07,2.45,20,17.55,Georgia
23.01,0,40,40,0,Pennsylvania
22,0,22,22,0,Virginia
3.17,0.16,3.33,5,1.67,South Carolina
3.59,0.25,3.84,5,1.16,North Carolina
20,0,20,20,0,Virginia
3.57,0.18,3.75,20,16.25,South Carolina
15,0,15,15,0,Tennessee
46.46,0,46.46,100,53.54,Georgia
23,0,23,23,0,Virginia
6.39,0.16,6.55,10,3.45,Virginia
4.34,0.14,4.48,10,5.52,North Carolina
2.38,0.17,2.55,2.55,0,North Carolina
16.99,1.02,18.01,18.01,0,Pennsylvania
45.01,0,45.01,45.01,0,Georgia
20.55,0,20.55,20.55,0,Alabama
1.29,0.11,1.4,2,0.6,Tennessee
2,0.04,0.04,0.04,0,Georgia
4.73,0.2,4.93,10,5.07,Virginia
2,0,2,100,98,Alabama
1.19,0.04,1.23,2,0.77,Georgia
10,0,10,10,0,Tennessee
28.39,0,28.39,28.39,0,South Carolina
5,0,5,5,0,Virginia
9.94,0.67,10.61,10.61,0,Virginia
15.06,0.75,15.81,15.81,0,Virginia
30,0,-10,0,10,South Carolina
2.18,0,2.18,20,17.82,Pennsylvania
0.59,0.04,0.63,0.75,0.12,South Carolina
60,0,60,60,0,Tennessee
2.89,0.2,3.09,5.1,2.01,North Carolina
3.79,0.23,4.02,4.02,0,North Carolina
0.5,0.02,0.52,1,0.48,Georgia
4.95,0.12,5.07,6,0.93,Virginia
3.36,0.24,3.6,4,0.4,North Carolina
1.09,0.08,1.17,1.25,0.08,North Carolina
7.92,0.55,8.47,10.5,2.03,North Carolina
4,0,4,4,0,Georgia
6.78,0.04,6.82,20,13.18,Georgia
4.19,0.29,4.48,10,5.52,Georgia
5.37,0.27,5.64,10,4.36,South Carolina
26.02,0,26.02,26.02,0,Virginia
3.98,0.28,4.26,5,0.74,North Carolina
3.97,0.22,4.19,4.25,0.06,South Carolina
41.6,0,41.6,41.6,0,Georgia
24,0,24,24,0,Georgia
2,0,2,150,148,Alabama
204.59,0.14,204.73,210,5.27,South Carolina
2.38,0.12,2.5,2.5,0,South Carolina
1.78,0.05,1.83,2,0.17,Georgia
2.1,0,2.1,2.1,0,North Carolina
1.29,0.03,1.32,2,0.68,Georgia
30.06,0,30.06,30.06,0,Pennsylvania
37.36,0,37.36,37.36,0,North Carolina
4.54,0.27,4.81,20.01,15.2,Pennsylvania
9.29,0.09,9.38,20,10.62,North Carolina
1.78,0,1.78,2,0.22,Pennsylvania
10,0,10,10,0,Virginia
15.5,0,15.5,15.5,0,Pennsylvania
10.49,0.27,10.76,20,9.24,South Carolina
32.01,0,32.01,32.01,0,Tennessee
1.99,0.14,2.13,3,0.87,North Carolina
1.29,0.12,1.41,2,0.59,Alabama
3.39,0.17,3.56,10,6.44,Virginia
17.99,1.26,19.25,20,0.75,South Carolina
20,0,20,20,0,Virginia
5.58,0.28,5.86,5.86,0,South Carolina
8.39,0.17,8.56,10,1.44,Virginia
17.88,0,17.88,17.88,0,South Carolina
29.01,0,29.01,29.01,0,South Carolina
0.69,0.06,0.75,20,19.25,Alabama
6,0,6,6,0,Virginia
23.18,0,23.18,23.18,0,Georgia
42.58,1.92,44.5,50,5.5,Georgia
2.77,0.12,2.89,2.89,0,Georgia
38.5,0,40,40,0,South Carolina
2,0,2,2,0,Virginia
10.22,0,10.22,10.22,0,Pennsylvania
160,0,160,160,0,South Carolina
2.38,0.12,2.5,10,7.5,South Carolina
23,0,23,23,0,South Carolina
26.15,0,26.15,26.15,0,South Carolina
3.68,0.18,3.86,10,6.14,South Carolina
27.01,0,27.01,27.01,0,Georgia
28.2,0,28.2,28.2,0,South Carolina
22.08,1.55,23.63,40,16.37,North Carolina
35,0,35,35,0,Alabama
3.17,0.14,3.31,3.31,0,Georgia
0.89,0.07,0.96,1,0.04,Tennessee
20,0,20,20,0,North Carolina
0.99,0.02,1.01,1.05,0.04,Georgia
1.99,0,1.99,1.99,0,Pennsylvania
1.69,0.05,1.74,2,0.26,Georgia
8,0,8,8,0,South Carolina
10,0,10,10,0,Alabama
50,0,50,50,0,North Carolina
9.81,0.29,10.1,10.1,0,Georgia
3.57,0.29,3.86,4,0.14,Tennessee
18.6,0,18.6,18.6,0,South Carolina
1.29,0.09,1.38,2,0.62,Georgia
4.5,0,4.5,4.5,0,North Carolina
20,0,20,20,0,Virginia
25.02,0,25,25,0,South Carolina
5.87,0.29,6.16,20,13.84,South Carolina
2.9,0.27,3.17,4,0.83,Tennessee
3.73,0.11,3.84,10,6.16,Virginia
0.59,0.04,0.63,0.63,0,Georgia
12.38,0.12,12.5,13,0.5,South Carolina
35,0,-5,0,5,Pennsylvania
14.59,0.13,14.72,20,5.28,South Carolina
10,0,10,10,0,South Carolina
1.88,0.13,2.01,2.01,0,North Carolina
31.6,0,31.6,31.6,0,North Carolina
2.88,0.14,3.02,3.02,0,South Carolina
27.4,0,27.4,27.4,0,Pennsylvania
1,0,1,1,0,Tennessee
2.18,0.15,2.33,2.35,0.02,North Carolina
16.67,0,16.67,16.67,0,Virginia
25.21,0,25.21,25.21,0,Georgia
0.99,0.07,1.06,1.25,0.19,Georgia
2.58,0.08,2.66,3,0.34,Georgia
32.79,0,32.79,32.79,0,Georgia
5.01,0,5.01,5.01,0,Virginia
6.27,0.24,6.51,10,3.49,Georgia
2.29,0.07,2.36,5,2.64,Georgia
9.98,0.34,2,2,0,North Carolina
1,0,1,20,19,Georgia
0.5,0.04,0.54,1,0.46,South Carolina
3.19,0.22,3.41,5.51,2.1,Georgia
18.99,0.45,19.44,20,0.56,South Carolina
3.96,0.25,4.21,4.21,0,Georgia
5,0,5,5,0,North Carolina
3.96,0.28,4.24,5,0.76,North Carolina
16.09,0,16.09,16.09,0,South Carolina
8.29,0.16,8.45,20,11.55,Virginia
32.9,0,32.9,32.9,0,North Carolina
0.79,0.04,0.83,0.83,0,Virginia
8,0,8,20,12,Pennsylvania
0,0,-40,0,40,Georgia
1.09,0.06,1.15,2,0.85,Georgia
1.29,0.08,1.37,2,0.63,Pennsylvania
3.14,0.16,3.3,5,1.7,South Carolina
4.77,0.24,5.01,20,14.99,South Carolina
1.28,0.05,1.33,1.33,0,North Carolina
25,0,25,25,0,Tennessee
10.01,0,10.01,10.01,0,Alabama
4,0,4,20,16,South Carolina
2.48,0.11,2.59,3,0.41,North Carolina
21.51,0,21.51,21.51,0,Virginia
20,0,20,20,0,North Carolina
38,0,38,38,0,Alabama
30,0,30,30,0,Virginia
5.36,0.38,5.74,5.8,0.06,North Carolina
10.39,0.07,10.46,20,9.54,South Carolina
28.28,0,28.28,28.28,0,South Carolina
3.38,0.17,3.55,20,16.45,North Carolina
2.64,0.1,2.74,5,2.26,Virginia
0.89,0.03,0.92,1,0.08,Georgia
1.29,0.11,1.4,1.4,0,Tennessee
4.43,0.19,4.62,10.02,5.4,Virginia
0.3,0.02,0.32,1,0.68,South Carolina
4.97,0.27,5.24,10,4.76,South Carolina
3.88,0.19,4.07,20,15.93,South Carolina
0.99,0.07,1.06,5.06,4,North Carolina
15.21,0,15.21,15.21,0,Virginia
3.17,0.16,3.33,5,1.67,South Carolina
3.96,0.36,4.32,20,15.68,Tennessee
4.38,0.26,4.64,5,0.36,Virginia
4.45,0.21,4.66,10,5.34,Georgia
20,0,20,20,0,Georgia
11.58,0.53,12.11,20.11,8,Virginia
29,0,29,29,0,North Carolina
13.23,0,-6.77,0,6.77,Pennsylvania
28.72,0,28.72,28.72,0,Georgia
12.58,0,12.58,12.58,0,Pennsylvania
1.79,0.17,1.96,2,0.04,Tennessee
1,0,1,1,0,Alabama
25,0,25,40,15,South Carolina
1.99,0.09,2.08,3,0.92,North Carolina
7.99,0.24,8.23,10.25,2.02,Georgia
1.98,0.08,2.06,2.06,0,Virginia
3.37,0.08,3.45,5,1.55,Virginia
58.47,0,58.47,58.47,0,North Carolina
5.02,0,5.02,5.02,0,South Carolina
40.49,0.04,40.53,41,0.47,Georgia
11.36,0.8,12.16,20,7.84,South Carolina
10.63,0.74,11.37,20,8.63,South Carolina
25,0,25,25,0,Alabama
1.29,0.09,1.38,2,0.62,South Carolina
45,0,45,45,0,North Carolina
2.44,0.17,2.61,3,0.39,North Carolina
1.69,0.12,1.81,2.01,0.2,South Carolina
34.49,0.08,34.57,34.57,0,North Carolina
23,0,23,23,0,Georgia
1.99,0.1,2.09,5,2.91,South Carolina
18.01,0,18.01,18.01,0,Alabama
34,0,34,40,6,Tennessee
6.27,0.54,6.81,6.81,0,Tennessee
2.19,0.13,2.32,5,2.68,Pennsylvania
1.98,0.14,2.12,2.12,0,North Carolina
0.79,0.04,0.83,0.83,0,South Carolina
71.78,0.05,71.83,71.83,0,Georgia
0,0,10,10,0,Virginia
3.37,0.1,3.47,4,0.53,Georgia
9.45,0.47,9.92,20,10.08,Virginia
27.77,0,27.77,40.07,12.3,Georgia
11.07,0,11.07,11.12,0.05,North Carolina
13.01,0,13.01,20.25,7.24,South Carolina
9.57,0.67,10.24,20.25,10.01,North Carolina
49.66,0,49.66,49.66,0,Georgia
6.63,0.4,7.03,8,0.97,Pennsylvania
1.97,0,1.97,1.97,0,Virginia
3.18,0.26,3.44,4,0.56,Tennessee
43.7,0,43.7,43.7,0,North Carolina
1.29,0.04,1.33,20.33,19,Georgia
44,0,44,44,0,Georgia
33.01,0,33.01,33.01,0,Pennsylvania
5.86,0.41,6.27,20.5,14.23,South Carolina
65,0,65,65,0,South Carolina
27.92,0,27.92,27.92,0,South Carolina
8.02,0,8.02,8.02,0,South Carolina
2.18,0.2,2.38,3,0.62,Alabama
2.78,0.19,2.97,10,7.03,Georgia
40,0,40,40,0,South Carolina
11.2,0,11.2,11.2,0,Pennsylvania
1.49,0.13,1.62,2.02,0.4,Alabama
18.32,0.92,1,1,0,South Carolina
51.79,0.62,52.41,100.41,48,Tennessee
1,0,1,1,0,Georgia
14.76,0,14.76,15,0.24,Pennsylvania
1.59,0.04,1.63,2,0.37,Georgia
0.59,0.04,0.63,20,19.37,Georgia
0.89,0.08,0.97,1,0.03,Tennessee
2.25,0.11,2.36,20,17.64,South Carolina
3.04,0.27,3.31,3.4,0.09,Alabama
50,0,50,50,0,Georgia
6.99,0.1,7.09,8,0.91,South Carolina
16,0,16,16,0,South Carolina
3.78,0.18,3.96,5,1.04,Virginia
30,0,30,30,0,Virginia
7.95,0.56,8.51,20,11.49,North Carolina
1.29,0.09,1.38,20,18.62,Georgia
2.99,0.09,3.08,20,16.92,Georgia
16.97,1.19,18.16,20,1.84,North Carolina
5.77,0.4,6.17,7,0.83,South Carolina
3,0,3,3,0,Virginia
20,0,20,20,0,Virginia
1.79,0.11,1.9,2,0.1,Pennsylvania
12,0,12,12,0,North Carolina
3,0,3,3,0,Virginia
2.88,0.03,2.91,3,0.09,Virginia
10,0,10,10,0,Georgia
22.65,0,22.65,22.65,0,Georgia
11.97,0.6,12.57,12.57,0,Virginia
29.5,0,29.5,29.5,0,South Carolina
0.95,0.07,1.02,5.02,4,North Carolina
1.98,0.06,2.04,2.1,0.06,Georgia
2,0.04,2.04,3,0.96,Georgia
10,0.93,10.93,10.93,0,Tennessee
33.5,0,33.5,33.5,0,Georgia
0.99,0.05,1.04,2,0.96,South Carolina
11.97,0.72,12.69,13,0.31,Pennsylvania
20,0,20,20,0,Georgia
47,0,60,60,0,Georgia
1.19,0.08,1.27,5,3.73,South Carolina
2.39,0.17,2.56,5.01,2.45,South Carolina
1.19,0.11,1.3,2,0.7,Alabama
21.25,0,21.25,21.25,0,Virginia
20.99,1.47,19.46,20,0.54,North Carolina
22.51,0,22.51,22.51,0,South Carolina
18,0,18,18,0,Alabama
129.25,0,129.25,150,20.75,South Carolina
44,0,44,44,0,South Carolina
13.09,0,13.09,13.09,0,North Carolina
50,0,50,50,0,Georgia
18.35,0,18.35,18.35,0,Virginia
2.18,0.2,2.38,3,0.62,Tennessee
15,0,15,15,0,Alabama
7,0,7,7,0,Virginia
4.88,0.15,5.03,10.03,5,Georgia
62.04,4.34,66.38,66.38,0,South Carolina
6.13,0.27,6.4,6.4,0,Pennsylvania
1.39,0.1,1.49,2,0.51,North Carolina
20,0,20,20,0,Virginia
46.01,1.82,47.83,50,2.17,Georgia
16.93,1.19,18.12,19,0.88,North Carolina
1.19,0.08,1.27,1.27,0,South Carolina
1.09,0.07,1.16,1.16,0,Georgia
10,0.7,10.7,100.7,90,South Carolina
2.68,0.13,2.81,3,0.19,South Carolina
3.01,0,3.01,5.01,2,South Carolina
1.29,0.09,1.38,2,0.62,Georgia
0.79,0.06,0.85,0.85,0,North Carolina
2,0,2,2,0,South Carolina
39.08,0,39.08,39.08,0,North Carolina
22,0.35,22.35,25,2.65,North Carolina
35.85,0,35.85,35.85,0,Virginia
10,0,10,10,0,Virginia
17.58,0,17.58,17.58,0,Georgia
10.1,0,10.1,20.1,10,Virginia
15,0,15,20,5,Pennsylvania
30.26,0,30.26,30.26,0,South Carolina
6.18,0.43,6.61,20,13.39,North Carolina
22.28,0,22.28,22.28,0,Virginia
2.94,0.21,3.15,3.15,0,North Carolina
3,0.06,3.06,3.1,0.04,Georgia
57.29,0.03,57.32,60,2.68,Georgia
1.09,0.1,1.19,1.19,0,Tennessee
40.01,0,40.01,40.01,0,South Carolina
0.99,0.03,1.02,1.02,0,Georgia
0.3,0.01,0.31,1,0.69,Georgia
1.59,0.11,1.7,1.7,0,North Carolina
20,0,20,20,0,Alabama
4.48,0.13,4.61,5,0.39,Georgia
31,0,31,31,0,Georgia
29,0,29,29,0,Virginia
15.93,0.27,16.2,17,0.8,Pennsylvania
4,0,4,4,0,Georgia
5.69,0.4,6.09,10,3.91,North Carolina
8.48,0.59,9.07,10,0.93,North Carolina
2,0,2,2,0,South Carolina
0.85,0.02,0.87,1,0.13,Virginia
10,0,10,10,0,Georgia
1.29,0.08,1.36,1.36,0,Pennsylvania
8.58,0.19,8.77,10,1.23,Tennessee
3.01,0,3.01,5.01,2,Virginia
7,0,7,7,0,South Carolina
15,0,15,20,5,Georgia
10,0,10,10,0,North Carolina
3.38,0.17,3.55,20,16.45,Virginia
1.78,0.1,1.88,20,18.12,Georgia
27,0,27,27,0,South Carolina
4.38,0.22,4.6,20,15.4,Virginia
5,0.25,5.25,10,4.75,South Carolina
8.2,0.76,5,5,0,Tennessee
5.61,0.48,6.09,6.09,0,Tennessee
2.97,0.21,3.18,20,16.82,North Carolina
3.27,0.2,3.47,4,0.53,North Carolina
6,0,6,10,4,South Carolina
2.24,0.11,2.35,2.35,0,South Carolina
35.6,0,40,40,0,Virginia
1.69,0.1,1.79,5,3.21,Pennsylvania
1,0.06,1.06,1.06,0,Pennsylvania
21.84,0,21.84,21.84,0,South Carolina
1.88,0.07,1.95,1.95,0,Pennsylvania
11.19,0.08,11.27,11.27,0,North Carolina
18.83,0,18.83,18.83,0,Virginia
1.04,0.04,1.08,1.25,0.17,Georgia
10,0,10,20,10,South Carolina
10,0,10,10,0,Virginia
17.98,0,17.98,17.98,0,Georgia
33.92,0,33.92,33.92,0,North Carolina
0.25,0.01,0.26,0.26,0,North Carolina
12,0.1,12.1,20.1,8,South Carolina
1.29,0.09,1.38,1.38,0,Georgia
2.88,0.14,3.02,3.02,0,South Carolina
16.01,0,16.01,17,0.99,Georgia
21,0,21,21,0,Alabama
4.38,0.11,4.49,10,5.51,Virginia
31.2,1.87,33.07,40,6.93,Pennsylvania
0.25,0.02,0.27,0.27,0,Georgia
19.83,0,19.83,20,0.17,Georgia
3.99,0.1,4.09,20,15.91,Virginia
9.99,0.92,10.91,20,9.09,Tennessee
0.99,0.07,1.06,1.06,0,Georgia
4.18,0.13,4.31,5,0.69,Pennsylvania
10,0,10,10,0,North Carolina
33.69,0,33.69,33.69,0,Virginia
0.99,0.09,1.08,1.08,0,Virginia
5.46,0.31,5.77,5.77,0,North Carolina
26.5,0,26.5,26.5,0,Georgia
8.17,0.41,8.58,10,1.42,Virginia
20,0,20,20,0,Pennsylvania
7,0,7,7,0,Tennessee
27.58,0,27.58,27.58,0,Georgia
2.34,0.16,2.5,3,0.5,Georgia
50.01,0,50.01,50.01,0,Georgia
1.79,0.13,1.92,2,0.08,South Carolina
12.28,0.86,13.14,13.25,0.11,North Carolina
1.19,0.11,1.3,1.3,0,Tennessee
1.19,0.08,1.27,1.27,0,Georgia
15.01,0,15.01,16,0.99,Georgia
3.18,0.19,3.37,3.37,0,Pennsylvania
34.29,0.09,34.38,34.38,0,South Carolina
5,0,5,5,0,North Carolina
4.28,0.12,4.4,20,15.6,North Carolina
15,0.35,15.35,16,0.65,North Carolina
30.43,0,30.43,31,0.57,Virginia
71.47,1.04,72.51,80.01,7.5,Tennessee
39.67,0,39.67,39.67,0,Virginia
5.22,0.47,5.69,10,4.31,Alabama
0.99,0.09,1.08,2,0.92,Tennessee
0.89,0,0.89,1,0.11,Pennsylvania
7.97,0.11,8.08,8.08,0,North Carolina
5.96,0.18,6.14,10,3.86,Georgia
20,0,20,20,0,North Carolina
3.49,0.17,3.66,5,1.34,Virginia
13,0,13,20,7,Virginia
9.5,0,9.5,9.5,0,Virginia
2.34,0.16,2.5,5,2.5,Georgia
13.35,0.59,13.94,20,6.06,Georgia
1.68,0.12,1.8,2,0.2,South Carolina
2.58,0.13,2.71,5,2.29,Virginia
25.02,0,25.02,25.02,0,Georgia
34.9,0,34.9,34.9,0,Virginia
2.38,0,2.38,3,0.62,Pennsylvania
1.58,0.11,1.69,2,0.31,South Carolina
2.89,0.14,3.03,3.03,0,Virginia
31.32,0.31,11.63,20,8.37,Virginia
1.98,0.14,2.12,5,2.88,North Carolina
1.19,0.07,1.26,1.26,0,Pennsylvania
28.16,2.55,3,3,0,Tennessee
4.44,0,4.44,4.44,0,Alabama
9.14,0.46,9.6,9.6,0,South Carolina
8,0,8,8,0,Virginia
1.15,0.02,1.17,1.17,0,North Carolina
3.19,0.22,3.41,4,0.59,Georgia
0.99,0.05,1.04,1.04,0,Virginia
30.14,0,30.14,30.14,0,South Carolina
8.21,0,8.21,8.21,0,Georgia
9,0,9,9,0,Alabama
28.68,0,28.68,28.68,0,Georgia
29.01,0,29.01,30.01,1,Georgia
10,0,10,10,0,Virginia
3.04,0.15,3.19,4,0.81,Virginia
17.99,1.26,19.25,20,0.75,South Carolina
5,0,5,5,0,Georgia
28.75,0,28.75,28.75,0,North Carolina
8,0,8,100,92,Tennessee
16.25,1.14,17.39,20,2.61,South Carolina
5,0.25,5.25,5.25,0,South Carolina
14.99,0.35,15.34,20.35,5.01,North Carolina
8.13,0.33,8.46,8.46,0,Virginia
0.59,0.04,0.63,0.63,0,South Carolina
59.7,0.08,59.78,59.78,0,Pennsylvania
0.99,0.02,1.01,1.01,0,Virginia
26,0,5,5,0,South Carolina
18.94,0,18.94,18.94,0,Pennsylvania
3.78,0.26,4.04,20,15.96,North Carolina
2.78,0.14,2.92,3,0.08,Georgia
40.21,0,40.21,40.21,0,Georgia
5,0,5,5,0,North Carolina
0.79,0.07,0.86,5,4.14,Virginia
95,0,95,100,5,Alabama
26.84,0,26.84,26.84,0,South Carolina
5.85,0.02,5.87,5.87,0,North Carolina
